,Round
1826,0
8369,0
12922,0
12790,0
7138,1
8286,0
14932,3
29,0
1695,0
13700,0
1721,0
6232,0
9229,3
11733,0
8583,0
6582,0
8601,0
7681,0
15224,5
14457,6
15199,0
12159,4
13888,0
13088,0
3229,0
9432,0
7295,0
2642,0
11552,0
8172,4
8437,0
9122,0
9343,0
12698,0
3019,7
6940,0
14087,0
12332,0
2462,0
6983,0
2441,0
15012,0
12155,2
13049,0
13620,0
8049,0
2955,0
7334,0
14960,0
12540,3
8578,0
12105,0
6528,0
12189,0
43,7
6466,0
14667,0
3026,0
13303,3
9257,7
11530,0
2220,0
8151,0
1572,0
8472,0
13369,0
2678,0
7774,0
9310,0
1621,0
6670,5
14835,0
8243,0
7617,0
11772,4
15097,0
11514,0
1774,0
8219,4
11274,0
14905,0
1934,0
13877,0
13132,4
2669,0
2470,0
11831,0
6173,0
14344,0
13834,0
2032,0
8328,0
14460,6
6344,0
14519,0
2894,6
12489,0
12852,0
7955,0
13147,0
11463,0
2139,0
11715,0
6450,0
1751,0
3279,0
11381,0
14050,0
13506,0
12195,0
12448,5
12106,0
13005,3
13642,4
12863,0
13263,0
9035,6
14355,0
6782,0
6938,0
2504,0
12497,2
13893,0
1887,0
2063,6
13500,2
12309,0
3240,0
11848,0
1878,0
7894,5
12372,0
12582,0
2132,0
11789,0
9380,0
9281,0
12242,2
12436,0
7508,0
13417,4
13434,0
2758,0
12812,4
6951,0
2854,0
7409,0
8600,0
12291,0
8138,0
12740,0
14578,0
3294,0
6680,0
14194,0
9574,0
2519,0
2058,1
9471,7
14757,0
11609,0
9247,4
1915,2
13519,7
3326,0
2191,1
2125,6
9017,0
13329,0
13114,1
1742,0
14504,0
13441,0
6607,0
7941,0
9190,0
12265,0
12585,0
15191,0
15123,0
9022,3
2951,0
2977,0
11642,1
13229,0
1662,0
2839,0
8580,0
13680,0
11508,0
6471,0
2964,0
13129,0
1738,0
2679,0
9170,0
12777,0
12868,0
6431,5
12500,0
8458,0
3278,0
2101,0
11572,0
6435,0
11459,3
13595,0
9059,2
7993,0
2604,4
7223,7
6302,0
13332,0
3058,0
7243,0
6620,0
7543,0
11611,0
6711,0
13339,0
2517,0
14680,0
15208,0
8468,0
6432,0
7690,5
11618,6
2042,0
2053,0
14103,0
1927,0
6764,0
2275,0
2324,0
1788,0
12840,0
9427,1
6645,0
14735,0
6618,0
6227,0
14461,4
7911,0
8016,0
14350,7
8295,0
11425,2
14475,0
13861,0
2190,0
9173,0
1697,0
15103,0
8333,2
12275,2
14576,3
69,0
14969,0
7250,0
14191,0
1858,7
8516,0
2908,4
15229,0
14015,0
15064,0
14669,0
14297,2
8247,0
6823,1
6757,0
9383,6
13267,0
7128,0
3131,3
7294,0
2743,0
7242,3
13871,0
9551,0
2917,0
9290,3
2472,0
9394,2
2,1
6625,0
2450,0
12145,0
9513,0
14493,0
2074,0
2647,0
14814,0
2726,3
3314,0
13735,7
6427,0
13733,0
13385,0
2735,6
