,Round
6313,0
6459,0
2878,0
7042,4
8265,0
13972,2
1858,7
12629,0
15096,1
3233,4
14341,0
12555,0
6750,4
9445,7
2388,0
13398,0
6685,0
8320,0
14089,0
9150,0
12999,0
7196,7
6770,7
53,0
14207,0
14460,6
7256,7
7928,0
13818,0
13165,0
12374,4
14257,0
13256,0
7404,0
11754,7
13335,0
3361,0
8270,0
7999,1
6743,0
1880,6
11819,0
13042,3
15104,0
12084,0
14544,0
3007,0
6739,2
14878,0
6963,0
8590,0
12487,1
6758,0
11968,0
6153,0
14009,0
6126,3
8478,0
12001,0
13298,0
7573,6
13277,0
14069,6
11511,0
12032,0
12960,0
2513,0
8281,0
12824,0
14600,0
3120,0
14592,4
2482,0
3056,0
14879,0
12719,0
7833,0
7673,0
6164,0
7935,7
6816,0
13774,0
9163,0
1577,7
13733,0
8111,0
7667,0
8262,0
7459,0
11604,0
7652,0
14458,0
7978,0
14993,0
11793,0
13445,0
13981,0
8299,0
2210,0
7034,0
12661,0
13456,0
14238,6
9454,0
15046,0
9373,7
11598,0
12184,0
13998,0
6449,3
12558,4
11708,0
13810,0
3170,0
2634,0
11601,0
13793,0
13727,0
13049,0
3016,0
11422,0
9209,0
7080,0
1883,0
2580,2
14246,0
13327,2
15048,0
8045,6
8193,0
2510,0
13082,0
14642,0
2732,0
133,2
7301,0
2579,6
14427,0
6496,0
6934,0
11501,0
11714,0
11479,6
14324,0
9350,0
13840,0
6731,0
7608,0
6350,0
6640,4
2567,0
8018,7
6357,0
2663,0
14662,0
13661,0
8492,0
14038,0
2313,0
14194,0
6248,0
6569,5
13676,4
9451,0
2260,0
7423,0
7488,0
14345,0
13281,3
11622,0
1985,0
14204,0
9453,4
14099,0
15231,0
11816,0
12586,0
14247,0
13607,3
1931,0
12490,0
7472,0
9484,0
1720,0
3297,0
13737,0
13608,0
7418,4
6782,0
14250,0
12857,0
14253,6
13087,0
13016,0
8284,0
7004,0
8238,0
7363,0
8138,0
14690,0
3331,0
13677,0
7445,0
6827,4
2292,5
13970,0
13743,0
7682,0
13409,0
7327,0
6156,0
8209,2
12894,0
6341,0
13925,0
14378,0
8051,0
11433,0
2824,0
7032,0
82,4
1922,0
14234,0
9578,0
11920,0
9549,0
2175,0
14769,0
2493,6
9325,0
9343,0
8311,0
1732,0
12492,0
13411,0
14730,0
131,4
2218,0
13798,0
6921,0
2112,0
9275,3
8525,0
7138,1
11546,0
14542,0
7781,0
8423,0
12693,0
7044,0
12833,7
12860,0
11457,0
6360,0
8237,2
14956,0
11704,6
8050,5
3162,0
7704,0
8327,0
12196,0
8170,6
13715,1
8635,0
8167,4
13034,0
6398,0
12705,7
9091,7
13738,0
8432,5
6705,0
7627,0
6862,0
11797,0
8315,0
13379,6
2838,0
13120,0
12783,0
7139,7
14332,0
11815,3
12716,4
2052,0
2893,0
14001,0
13759,0
7987,0
2271,5
13195,0
14991,0
2901,1
7647,0
14826,0
6883,0
7788,0
12596,0
8512,0
12447,0
9434,0
11374,0
1937,0
13437,0
13881,0
12851,0
1972,0
12264,2
11485,0
7690,5
11624,0
1693,0
2826,4
9298,5
11523,0
11803,5
6166,0
14890,1
6055,0
1930,0
7750,0
8061,0
9541,2
7984,0
11617,7
2983,0
13834,0
15022,1
14176,6
15167,0
13455,0
7740,3
6821,0
137,0
60,5
8331,0
13654,0
7643,0
11867,0
6779,0
3068,0
3114,0
7853,0
1774,0
15170,0
7303,0
2769,1
11856,0
3195,0
8058,0
7278,0
13183,0
13212,0
6337,0
9098,0
1721,0
13403,0
12703,0
11850,0
14177,0
14168,3
7094,6
6649,1
13101,0
9274,0
14087,0
9293,4
12778,0
11371,0
13585,0
13278,0
14943,6
2759,0
9333,7
1685,0
13408,0
13685,0
2357,0
9242,5
2329,0
13549,0
12397,3
12147,1
11808,2
1876,5
8636,0
7101,0
14288,0
11431,0
11653,0
8256,0
7656,0
7614,0
8570,0
8102,0
7678,2
2495,0
12416,0
66,0
1989,0
6945,2
12442,0
14536,0
7857,0
13712,0
13694,0
13931,0
14498,0
9182,0
2160,0
12518,0
11954,7
14774,0
3031,0
9019,0
7283,0
2227,0
7145,0
8540,0
1900,0
12813,0
14106,0
14757,0
13729,6
11976,7
6825,0
9313,0
14989,0
3198,0
11605,3
8422,0
13745,0
11874,0
2706,0
6981,0
7772,4
3196,0
9437,0
7918,0
1836,0
14298,2
13926,0
8267,0
9429,0
12200,0
2894,6
2209,0
12536,0
13918,0
11937,0
7577,6
13438,0
3386,0
14876,0
7998,0
13417,4
1741,0
15057,0
2728,0
6565,0
2188,5
6260,2
12688,0
9463,0
6672,2
14891,0
3072,0
80,0
13033,0
13877,0
2355,0
2996,0
9382,6
2455,1
11407,0
2322,0
11811,0
8186,0
6955,0
2519,0
15237,0
2795,0
14704,0
7679,0
12273,0
7262,0
1973,0
2787,0
2282,0
14289,0
39,0
7277,0
6487,3
12835,0
2959,0
8459,0
13606,0
11550,2
14213,4
13870,0
15011,6
3307,0
7821,0
12012,0
9551,0
15063,2
8154,0
35,4
2779,0
13647,0
2948,0
7205,0
15235,5
1617,0
7756,7
6130,0
1583,6
2430,0
8191,0
1766,0
11859,0
13483,4
14305,0
11936,0
14361,0
1861,0
8586,0
13258,0
7824,0
12608,2
3034,0
14503,1
9235,1
11830,0
2752,0
8526,0
6467,0
8025,0
13282,1
14192,7
27,1
11656,2
13784,0
9372,0
8358,0
2876,0
9248,0
2622,0
2062,1
2757,0
12899,0
7544,0
15236,0
6968,0
8409,0
3276,0
1749,0
14840,0
15114,0
7579,0
9259,0
6431,5
13380,0
2220,0
9424,7
13415,0
14228,7
2497,0
14143,0
12217,0
14384,0
13722,0
7770,0
8307,6
7005,0
9337,0
12576,0
2896,0
13109,5
13493,0
1759,0
7048,0
13808,1
13243,0
6941,0
13309,0
9570,4
9041,4
9538,5
7793,6
11502,0
14138,0
9477,3
6793,0
14302,5
1810,0
2162,0
2234,0
2711,0
