,Round
11886,0
13299,0
13169,5
14773,0
14617,0
6922,0
2425,0
6514,0
11736,0
13676,4
7940,0
11483,0
2055,0
2012,0
8508,0
12481,0
6526,0
8263,0
14192,7
13996,0
7206,0
15089,0
8349,5
8365,0
8219,4
9182,0
14966,0
12923,0
131,4
11771,1
3040,6
11650,3
6651,0
14259,0
14973,0
9037,2
8610,0
14909,0
14709,2
14626,0
15037,0
6136,0
15030,0
11868,0
12211,7
2072,0
1696,0
13398,0
9565,7
2939,0
2319,0
14829,0
14319,0
2179,0
11800,0
14696,0
12681,0
7901,5
2851,0
9171,0
12463,0
2539,0
6271,0
6309,0
3242,2
8361,0
6739,2
7024,6
12692,0
6468,0
7365,0
2919,0
12070,0
14926,2
7548,3
9065,3
14302,5
13565,0
1753,2
12551,2
14071,0
14287,3
12228,0
12859,0
11687,0
3136,0
3385,0
3335,0
8054,0
7616,0
6802,0
8625,0
14851,0
11492,5
8254,0
11655,5
13376,0
13277,0
14858,0
12683,0
6482,0
13732,0
2229,0
11782,0
12276,7
6971,7
2823,0
8407,4
12414,0
13940,0
14835,0
13229,0
11944,1
1666,0
6433,0
2809,7
3188,0
15108,0
14541,0
7050,0
7895,0
8156,0
14087,0
7291,0
12972,0
7336,0
2145,0
12488,0
6171,0
13748,0
13539,0
9471,7
6222,0
11594,0
14029,0
14553,0
13887,0
14711,0
2637,0
9248,0
7174,5
7885,6
2158,0
3083,0
13110,0
13184,0
6360,0
13033,0
9083,0
2661,0
7353,0
2598,0
12529,0
9124,5
2658,0
6708,0
11410,3
12002,0
2569,0
7225,5
3223,0
13022,0
6736,0
3189,0
3261,0
12497,2
11694,0
9265,0
2235,0
12577,0
8139,0
3308,0
2663,0
7098,0
14272,0
11794,0
12042,0
2963,0
2908,4
12017,0
11265,0
2862,0
7445,0
9314,2
13852,1
7726,0
7005,0
11946,1
14523,0
14130,0
2763,0
6303,0
14228,7
2144,0
15115,0
2287,0
7421,0
7999,1
15242,0
8068,0
14931,7
2352,0
3160,3
11391,0
12200,0
2526,0
13531,2
14706,0
8013,0
11827,0
7140,0
12508,0
12634,4
2641,0
12898,0
14313,0
66,0
1787,0
3025,0
14374,0
3074,0
2080,0
12872,0
14593,0
11751,1
7962,5
12725,0
14201,0
2961,0
11453,0
7162,0
53,0
2902,0
7029,0
11777,7
13268,0
6917,0
1699,0
2567,0
8327,0
8148,0
9024,0
7738,0
2029,0
13843,0
1663,6
13358,0
2512,0
2879,0
11205,0
11585,0
13934,1
8109,0
7600,0
3183,0
11719,0
1975,0
2390,0
3206,0
12410,1
7018,0
2349,0
13488,0
2906,0
6714,0
13722,0
7009,0
12208,2
15095,0
15067,0
2867,0
7182,0
